ID Region,Region,ID Comuna,Comuna,ID Year,Year,ID Level 1,Level 1,ID Level 2,Level 2,Output
5,Valparaíso,242,Putaendo,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",16949.884765625
5,Valparaíso,257,Quintero,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",994257.875
5,Valparaíso,257,Quintero,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1673160.25
5,Valparaíso,257,Quintero,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",998382.625
5,Valparaíso,279,San Antonio,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",3059290.0
5,Valparaíso,279,San Antonio,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",4714125.5
5,Valparaíso,279,San Antonio,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",5369200.5
5,Valparaíso,331,Valparaiso,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",83689088.0
5,Valparaíso,331,Valparaiso,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",86430608.0
5,Valparaíso,331,Valparaiso,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",77093472.0
5,Valparaíso,331,Valparaiso,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",94703245.0
5,Valparaíso,331,Valparaiso,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",52625404.0
5,Valparaíso,339,Viña Del Mar,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",75064171.5
5,Valparaíso,339,Viña Del Mar,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",149266553.5
6,O'Higgins,56,Coinco,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2722389.0
6,O'Higgins,56,Coinco,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",680172.9375
6,O'Higgins,56,Coinco,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",135941.59375
6,O'Higgins,223,Placilla,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",6467425.5
6,O'Higgins,223,Placilla,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10561572.0
6,O'Higgins,259,Rancagua,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",74262.3359375
6,O'Higgins,259,Rancagua,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",346387680.0
6,O'Higgins,259,Rancagua,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",350595712.0
6,O'Higgins,259,Rancagua,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",471446720.0
6,O'Higgins,259,Rancagua,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",691956608.0
6,O'Higgins,259,Rancagua,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",637284544.0
